name,gender
raghavan,M
raghu,M
raghuram,M
rahul,M
rajagopal,M
rajan,M
rajaraman,M
rajat,M
rajeev,M
rajendra,M
rajendran,M
rajesh,M
rajinder,M
raju,M
rakesh,M
ramachandran,M
ramakrishnan,M
ramanathan,M
ramanujam,M
ramesh,M
ramu,M
rana,M
ranadeb,M
ranganathan,M
ranjan,M
ranjit,M
rashid,M
ratan,M
ravi,M
ravichandran,M
ravindra,M
rehan,M
rishabh,M
rituparno,M
riyaz,M
rizwan,M
rohan,M
rohit,M
sachin,M
sadiq,M
sagar,M
saleem,M
salman,M
sameer,M
sandeep,M
sandip,M
sanjay,M
sanjib,M
sankar,M
santanu,M
santosh,M
sarabjit,M
sathish,M
satish,M
satnam,M
satyajit,M
saurabh,M
sekar,M
selvam,M
selvaraj,M
senthil,M
shabbir,M
shahid,M
shailesh,M
shakeel,M
shankar,M
shanmugam,M
shantanu,M
shashank,M
shashikant,M
shiva,M
shivam,M
shoaib,M
shouvik,M
shrikant,M
shubham,M
shyam,M
siddharth,M
sivakumar,M
sivaraman,M
sohail,M
sohan,M
somenath,M
somnath,M
sourabh,M
srinivas,M
srinivasan,M
subhash,M
subramaniam,M
subramanian,M
subrata,M
suhas,M
sujit,M
sukanta,M
sukhbir,M
sukhdev,M
sukhjinder,M
sukhpal,M
sukhwinder,M
sumit,M
sundaram,M
sundararajan,M
sunil,M
suprakash,M
surendra,M
suresh,M
surinder,M
suvo,M
swaminathan,M
swapan,M
swapnil,M
tamal,M
tanmoy,M
tanveer,M
tapan,M
tariq,M
tarsem,M
tarun,M
tejas,M
tejinder,M
thangaraj,M
uday,M
umang,M
umar,M
umesh,M
utpal,M
uttam,M
vaibhav,M
varun,M
vasu,M
vel,M
velan,M
velu,M
venkataraman,M
venkataramanan,M
venkatesh,M
vetri,M
vijay,M
vijayan,M
vikas,M
vikram,M
vinay,M
vinayak,M
vinod,M
viral,M
vishal,M
vishnu,M
vishwanathan,M
vishwas,M
vivek,M
waryam,M
waseem,M
wasim,M
yash,M
yasin,M
yatin,M
yogesh,M
yusuf,M
zafar,M
zahid,M
zakir,M
zia,M
aarti,F
alka,F
alpa,F
amarjit,F
amina,F
ananya,F
anima,F
anindita,F
anita,F
anjali,F
aparna,F
arpita,F
asha,F
ashwini,F
asma,F
ayesha,F
bandana,F
bandita,F
bhagyashree,F
bharati,F
bharti,F
bhavna,F
bhuvana,F
bhuvaneshwari,F
bijal,F
bushra,F
chaitali,F
chanda,F
chandana,F
chandni,F
chitra,F
chumki,F
damini,F
darshana,F
debashree,F
deepa,F
deepali,F
deepika,F
devika,F
dhara,F
divya,F
doyel,F
durga,F
ekta,F
falguni,F
farah,F
farida,F
farzana,F
fatima,F
fauzia,F
gargi,F
gauri,F
gayathri,F
geeta,F
geetanjali,F
girija,F
gowri,F
gulnaz,F
hansa,F
hema,F
hetal,F
hina,F
humaira,F
indira,F
ipsita,F
iram,F
ishita,F
ismat,F
janaki,F
jaswinder,F
jaya,F
jayalakshmi,F
jhumur,F
jigna,F
jyoti,F
kabita,F
kakoli,F
kalpana,F
kalyani,F
kamakshi,F
kamala,F
kamaljit,F
kanaka,F
kanchan,F
kanika,F
karuna,F
kasturi,F
kausar,F
kaveri,F
kavita,F
kavya,F
ketaki,F
keya,F
khadija,F
kiran,F
kiranjit,F
kirti,F
komal,F
krupa,F
labani,F
lakhbir,F
lakshmi,F
lalitha,F
lata,F
latha,F
leela,F
lokeshwari,F
lovepreet,F
lubna,F
madhabi,F
madhavi,F
madhuri,F
mahira,F
mahua,F
mala,F
malabika,F
malar,F
malathi,F
malliga,F
mallika,F
malti,F
mamta,F
manasi,F
mangala,F
manisha,F
manjiri,F
manju,F
manjusha,F
maryam,F
mausumi,F
mayuri,F
meena,F
meenakshi,F
meenal,F
meera,F
meghana,F
mehjabeen,F
mimi,F
mira,F
mita,F
mitali,F
mohini,F
moloya,F
mousumi,F
mridula,F
mrunal,F
mumtaz,F
muthulakshmi,F
nabanita,F
nadia,F
nagalakshmi,F
nalini,F
namita,F
nandini,F
naseem,F
navjot,F
nayana,F
nazia,F
nazneen,F
neha,F
nidhi,F
nikita,F
nirmala,F
nisha,F
noor,F
nusrat,F
padma,F
padmavathi,F
palak,F
pallavi,F
papiya,F
parama,F
parimala,F
paromita,F
parvathi,F
parvati,F
parveen,F
piyali,F
pooja,F
prajakta,F
pratibha,F
preeti,F
pritam,F
pritha,F
priti,F
priya,F
priyanka,F
purabi,F
purnima,F
pushpa,F
rachana,F
rachna,F
radha,F
radhika,F
raheela,F
rajashree,F
rajeshwari,F
rajini,F
rajni,F
rajwinder,F
rakhi,F
ramya,F
rangammal,F
rani,F
ranjana,F
rashida,F
rashmi,F
ravneet,F
razia,F
reena,F
rehana,F
rekha,F
renu,F
revathi,F
rinku,F
ritu,F
roopa,F
rubina,F
ruchi,F
rukhsana,F
rukhsar,F
rupa,F
rupali,F
rushda,F
rutuja,F
saba,F
sabiha,F
sadia,F
safia,F
sajida,F
salma,F
samina,F
sana,F
sanchari,F
sandhya,F
sangeeta,F
sangita,F
sania,F
sapna,F
sarama,F
saranya,F
sarasu,F
saraswati,F
sarbjit,F
sarika,F
saroja,F
sathi,F
satwinder,F
savita,F
seema,F
sejal,F
selvi,F
shabana,F
shabari,F
shabnam,F
shaheen,F
shahnaz,F
shakila,F
shalaka,F
shalini,F
shamim,F
shampa,F
shanta,F
shanthi,F
shanti,F
sharadha,F
sharmeen,F
sharmila,F
shazia,F
sheela,F
shilpa,F
shobana,F
shobha,F
shobhana,F
shraddha,F
shubhangi,F
shweta,F
simarjit,F
simran,F
sipra,F
sita,F
sivagami,F
smita,F
snehal,F
sofia,F
soma,F
sonal,F
sonam,F
sonia,F
soumya,F
srabani,F
subbulakshmi,F
suchita,F
suchitra,F
sudeshna,F
sudha,F
suguna,F
sujata,F
sujatha,F
sulochana,F
sumaira,F
suman,F
sumathi,F
sumitra,F
sunanda,F
sunita,F
supriya,F
sushma,F
swapnali,F
swarnalatha,F
swarnali,F
swati,F
tahira,F
tamilarasi,F
tanuja,F
tanushree,F
tanvi,F
tara,F
tasneem,F
thara,F
thulasi,F
titli,F
toral,F
tripti,F
trupti,F
tumpa,F
ujwala,F
uma,F
urmila,F
urvi,F
usha,F
uzma,F
vaidehi,F
vaishali,F
valli,F
vandana,F
vani,F
vanita,F
varsha,F
vasantha,F
vasanthi,F
veena,F
vennila,F
vibha,F
vidhi,F
vidya,F
vijaya,F
viji,F
vimala,F
vimla,F
vinita,F
yamini,F
yamuna,F
yasmeen,F
yogita,F
zainab,F
zeba,F
zeenat,F
zubeida,F
